DATE,Share_Prices,CPI,Prod_Vol,Intr_Rate,Intr_10Y,Total Reserves,Exchange,Exports,Imports,^FTSE,Real GDP,M1,Unemp,Emp
10/1/99,92.06054,72.8,96.8931,5.8801,5.8801,37994.76299,1.6572,14340480000,16967120000,6071.209519,439093,391250,5.8,72.2
11/1/99,98.3731,72.9,97.63033,5.3145,5.3145,40652.53064,1.6205,14322180000,16904440000,6487.499956,,400650,5.8,72.3
12/1/99,101.8959,73.1,96.36651,5.389,5.389,40223.84706,1.6132,14216330000,16945370000,6719.82002,,390731,5.9,72.2
1/1/00,98.46317,72.6,97.20906,5.8227,5.8227,43008.9149,1.6404,14653360000,17759470000,6471.605005,444540,402359,5.8,72.2
2/1/00,93.68788,72.8,97.52502,5.6347,5.6347,38384.79787,1.6,14694850000,17312230000,6178.50951,,404313,5.8,72.3
3/1/00,99.19132,73,97.20906,5.3707,5.3707,37311.51837,1.5799,15012450000,17248990000,6541.465247,,418147,5.7,72.3
4/1/00,95.6144,73.3,96.99842,5.3213,5.3213,38281.24149,1.5823,15053420000,18386240000,6312.7111,447825,418631,5.6,72.4
5/1/00,94.2506,73.5,97.31438,5.4033,5.4033,39427.37813,1.509,15129690000,17580160000,6210.257115,,430526,5.5,72.5
6/1/00,97.88135,73.6,97.84097,5.2097,5.2097,40037.12773,1.5092,15659010000,18113480000,6455.072687,,438814,5.3,72.6
7/1/00,97.55154,73.3,97.20906,5.2388,5.2388,40770.33939,1.5076,15312380000,19209590000,6433.319057,450688,437535,5.3,72.7
8/1/00,98.31472,73.3,98.47288,5.3312,5.3312,39785.57648,1.4889,15888020000,18641980000,6480.0182,,435987,5.3,72.6
9/1/00,97.99598,73.8,98.15692,5.3873,5.3873,39873.62972,1.4336,15861690000,19024400000,6462.633394,,446786,5.4,72.5
10/1/00,95.43305,73.8,98.36756,5.2179,5.2179,41599.5678,1.4506,15959410000,18950660000,6293.609064,453447,450245,5.3,72.4
11/1/00,96.45219,74,99.21011,5.0983,5.0983,43729.7688,1.4258,16248290000,19622660000,6360.831809,,448926,5.2,72.5
12/1/00,94.45728,74,101.3165,4.9118,4.9118,46637.8042,1.4629,16350990000,20357410000,6243.136822,,451750,5.2,72.7
1/1/01,93.93384,73.5,101.0005,4.8471,4.8471,45551.58246,1.4775,16667540000,19905740000,6193.477251,457680,457305,5.2,72.6
2/1/01,92.77641,73.7,101.1058,4.8248,4.8248,42226.70777,1.4525,16662640000,20175840000,6118.419995,,459585,5.1,72.6
3/1/01,86.63519,73.9,101.9484,4.703,4.703,43084.95814,1.4445,16023180000,19525190000,5713.409091,,482339,5,72.7
4/1/01,87.45948,74.4,102.475,4.9468,4.9468,42910.7304,1.4348,15666540000,19649720000,5767.899979,459620,478628,4.9,72.7
5/1/01,89.12459,74.9,101.9484,5.1153,5.1153,43323.21842,1.4265,15649660000,19040250000,5877.361886,,482980,5,72.7
6/1/01,87.23643,75,102.6856,5.1951,5.1951,44183.80707,1.402,16151070000,19932080000,5753.071452,,491547,5,72.6
7/1/01,82.82916,74.5,102.3697,5.2037,5.2037,42815.09196,1.4148,15620950000,18716480000,5462.427313,462016,492632,5.1,72.6
8/1/01,82.57365,74.8,103.5282,4.9854,4.9854,44200.22101,1.4372,15674650000,19126820000,5444.368186,,484083,5.1,72.5
9/1/01,74.10683,75,103.0016,4.9876,4.9876,44218.44734,1.4638,15657410000,18562210000,4887.19502,,505598,5.1,72.5
10/1/01,76.72768,74.9,102.3697,4.8253,4.8253,44021.02264,1.4501,15804720000,18480490000,5060.030443,463404,502863,5.1,72.6
11/1/01,79.49183,74.9,102.475,4.6271,4.6271,44332.93712,1.4356,15315580000,18274920000,5242.327326,,505822,5.2,72.6
12/1/01,78.56064,75,102.0537,4.8928,4.8928,44259.38692,1.4413,14847250000,18479690000,5181.273694,,501962,5.2,72.5
1/1/02,78.72865,74.8,101.4218,4.9171,4.9171,44710.58844,1.4322,15439380000,18086940000,5190.854537,464698,495981,5.1,72.5
2/1/02,77.74014,75,101.5271,4.9251,4.9251,44949.72809,1.4227,15493500000,18932880000,5126.809961,,496013,5.2,72.5
3/1/02,79.65878,75.2,103.4229,5.2202,5.2202,44700.01643,1.423,15705350000,19310960000,5252.405005,,508735,5.2,72.6
4/1/02,78.99113,75.6,101.2112,5.2331,5.2331,45729.49369,1.4429,15507690000,18767770000,5206.328567,466935,503636,5.2,72.6
5/1/02,78.38474,75.8,104.3707,5.2689,5.2689,46479.32181,1.4598,16536800000,19049910000,5167.790927,,507596,5.2,72.7
6/1/02,72.29372,75.8,98.99947,5.099,5.099,49194.11723,1.4837,15889280000,19087940000,4732.361084,,528891,5.2,72.6
7/1/02,64.26421,75.6,105.5292,5.0027,5.0027,48970.87928,1.5565,15833440000,19119940000,4238.09565,470277,522458,5.2,72.7
8/1/02,64.6251,75.8,105.3186,4.746,4.746,49056.30584,1.5368,15100950000,18863000000,4255.814267,,521244,5.3,72.6
9/1/02,59.99751,76,106.8984,4.5006,4.5006,51206.25669,1.5563,15521470000,18944310000,3956.723819,,540300,5.2,72.7
10/1/02,60.18265,76.1,105.5292,4.616,4.616,52007.97253,1.5575,15030400000,18894440000,3968.926068,473899,535512,5.2,72.8
11/1/02,62.20182,76.1,105.8452,4.6378,4.6378,52955.63644,1.5711,14885520000,19087500000,4102.085763,,540369,5.1,72.9
12/1/02,59.87089,76.3,106.6877,4.5644,4.5644,51500.4763,1.5863,14887750000,18459090000,3948.999963,,541918,5,72.8
1/1/03,57.52252,75.9,106.1611,4.3899,4.3899,46040.43674,1.6175,15615240000,18961380000,3786.827282,477357,538903,5.1,72.6
