Date,^FTSE
2006-04-01,6054.405571831598
2006-05-01,5845.995279947917
2006-06-01,5668.05000443892
2006-07-01,5833.671433221726
2006-08-01,5877.72725053267
2006-09-01,5896.109514508928
2006-10-01,6101.377263849432
2006-11-01,6167.75907759233
2006-12-01,6171.5789216694075
2007-01-01,6237.790926846591
2007-02-01,6362.689965820313
2007-03-01,6205.709139737216
2007-04-01,6434.357884457237
2007-05-01,6569.776204427083
2007-06-01,6597.966657366072
2007-07-01,6561.877374822443
2007-08-01,6177.222722833807
2007-09-01,6345.1099853515625
2007-10-01,6599.278214164402
2007-11-01,6325.122736150568
2007-12-01,6431.136795847039
2008-01-01,6031.190940163352
2008-02-01,5910.133370535715
2008-03-01,5676.268426192434
2008-04-01,5993.572731711648
2008-05-01,6187.20498046875
2008-06-01,5778.271414620535
2008-07-01,5375.221722146739
2008-08-01,5465.715063476562
2008-09-01,5231.704567649148
2008-10-01,4282.056545091712
2008-11-01,4223.965026855469
2008-12-01,4270.7524181547615
2009-01-01,4281.842878069197
2009-02-01,4074.175012207031
2009-03-01,3760.2363503196025
2009-04-01,4046.334997558594
2009-05-01,4393.778962787829
2009-06-01,4349.254549893466
2009-07-01,4374.50002122962
2009-08-01,4755.639990234375
2009-09-01,5033.136385830966
2009-10-01,5161.186390269886
2009-11-01,5242.285760788691
2009-12-01,5309.542829241072
2010-01-01,5411.64501953125
2010-02-01,5231.925
2010-03-01,5621.030464504076
2010-04-01,5720.7449951171875
2010-05-01,5222.8737150493425
2010-06-01,5139.445467862216
2010-07-01,5158.390891335227
2010-08-01,5279.552362351191
2010-09-01,5514.595481178977
2010-10-01,5687.180919828869
2010-11-01,5734.359064275568
2010-12-01,5868.380929129465
2011-01-01,5971.589990234375
2011-02-01,6020.96494140625
2011-03-01,5856.921705163043
2011-04-01,6007.861056857639
2011-05-01,5937.964990234375
2011-06-01,5792.181795987216
2011-07-01,5909.819056919643
2011-08-01,5271.313631924716
2011-09-01,5228.504549893466
2011-10-01,5408.623837425595
2011-11-01,5402.513605291193
2011-12-01,5480.0899658203125
2012-01-01,5694.4619140625
2012-02-01,5893.361932663691
2012-03-01,5875.404541015625
2012-04-01,5725.5947265625
2012-05-01,5466.4619140625
2012-06-01,5480.4579050164475
2012-07-01,5636.468195134943
2012-08-01,5796.954523259943
2012-09-01,5805.44501953125
2012-10-01,5831.8173828125
2012-11-01,5787.527277166193
2012-12-01,5922.721037212171
2013-01-01,6161.877263849432
2013-02-01,6316.354956054687
2013-03-01,6435.5900390625
2013-04-01,6361.009556361607
2013-05-01,6647.361886160715
2013-06-01,6299.435009765625
2013-07-01,6517.869543987772
2013-08-01,6521.476190476191
2013-09-01,6552.357142857143
2013-10-01,6571.947860054348
2013-11-01,6694.319056919643
2013-12-01,6572.985009765625
2014-01-01,6714.863591974432
2014-02-01,6693.050024414062
2014-03-01,6631.699939546131
2014-04-01,6651.9650390625
2014-05-01,6834.8099609375
2014-06-01,6804.314313616072
2014-07-01,6772.030443274457
2014-08-01,6712.2349609375
2014-09-01,6777.754572088068
2014-10-01,6408.634829313859
2014-11-01,6644.1300048828125
2014-12-01,6542.619070870535
2015-01-01,6615.071405319941
2015-02-01,6878.540063476563
2015-03-01,6884.504572088068
2015-04-01,7012.394970703125
2015-05-01,6981.6841848273025
2015-06-01,6783.177268288352
2015-07-01,6646.617378566576
2015-08-01,6455.955004882812
2015-09-01,6087.336381392045
2015-10-01,6340.81815962358
2015-11-01,6306.909528459822
2015-12-01,6162.319056919643
2016-01-01,5922.669970703125
2016-02-01,5881.747628348215
2016-03-01,6157.533342633928
