Date,^GDAXI
2002-09-01,3230.058547247024
2002-10-01,2967.309124490489
2002-11-01,3226.876639229911
2002-12-01,3117.7394341362847
2003-01-01,2921.7027476917615
2003-02-01,2611.223498535156
2003-03-01,2491.0519438244046
2003-04-01,2790.539514160156
2003-05-01,2922.9385695684523
2003-06-01,3179.5371442522323
2003-07-01,3336.310440726902
2003-08-01,3446.789039248512
2003-09-01,3506.760919744318
2003-10-01,3498.739979619565
2003-11-01,3722.7705078125
2003-12-01,3866.9331311677633
2004-01-01,4077.4900018601193
2004-02-01,4064.2935180664062
2004-03-01,3921.3834706182065
2004-04-01,4036.81201171875
2004-05-01,3869.1543085007443
2004-06-01,3986.43955300071
2004-07-01,3883.5586381392045
2004-08-01,3760.090909090909
2004-09-01,3909.433194247159
2004-10-01,3963.564278738839
2004-11-01,4108.6632080078125
2004-12-01,4216.389043898809
2005-01-01,4246.440011160715
2005-02-01,4344.7440185546875
2005-03-01,4357.401460193452
2005-04-01,4293.8076171875
2005-05-01,4329.549138849432
2005-06-01,4569.209938742898
2005-07-01,4726.5790783110115
2005-08-01,4886.299167798913
2005-09-01,4946.141823508523
2005-10-01,4951.816662016369
2005-11-01,5092.508189808239
2005-12-01,5343.13232421875
2006-01-01,5493.997691761364
2006-02-01,5762.512524414063
2006-03-01,5861.7060546875
2006-04-01,6010.006103515625
2006-05-01,5845.802268288352
2006-06-01,5495.312278053977
2006-07-01,5594.173293340774
2006-08-01,5750.306937839674
2006-09-01,5901.002394903274
2006-10-01,6161.296342329545
2006-11-01,6368.680886008523
2006-12-01,6492.5910002055925
2007-01-01,6692.5390625
2007-02-01,6913.125
2007-03-01,6705.958673650568
2007-04-01,7237.294767680921
2007-05-01,7581.970982142857
2007-06-01,7874.4790271577385
2007-07-01,7888.85136274858
2007-08-01,7463.643469769022
2007-09-01,7638.45
2007-10-01,7950.703485903533
2007-11-01,7715.145907315341
2007-12-01,7941.909955193015
2008-01-01,7323.653631036932
2008-02-01,6886.684291294643
2008-03-01,6499.593724300987
2008-04-01,6762.712668678977
2008-05-01,7056.119977678572
2008-06-01,6716.835704985119
2008-07-01,6341.48826002038
2008-08-01,6421.488095238095
2008-09-01,6135.594082919034
2008-10-01,4946.951299252717
2008-11-01,4691.992504882813
2008-12-01,4657.875282689145
2009-01-01,4534.168131510417
2009-02-01,4265.007507324219
2009-03-01,3969.1509121981535
2009-04-01,4519.140454101563
2009-05-01,4886.3625
2009-06-01,4930.824529474432
